Simulation time; 6038.0; Start; 0.0; Finish; 200.0
State no; 1;	 Influent; 0.01;	 Effluent; 0.01195481485843192
State no; 2;	 Influent; 0.001;	 Effluent; 0.0053147336008919225
State no; 3;	 Influent; 0.001;	 Effluent; 0.09862124849358737
State no; 4;	 Influent; 0.001;	 Effluent; 0.011624991431697268
State no; 5;	 Influent; 0.001;	 Effluent; 0.013250712334260496
State no; 6;	 Influent; 0.001;	 Effluent; 0.015783643013910737
State no; 7;	 Influent; 0.001;	 Effluent; 0.19807485542135997
State no; 8;	 Influent; 1.0E-8;	 Effluent; 2.359449168227585E-7
State no; 9;	 Influent; 1.0E-5;	 Effluent; 0.05489965414663744
State no; 10;	 Influent; 0.04;	 Effluent; 0.14997603585286282
State no; 11;	 Influent; 0.01;	 Effluent; 0.130229907340233
State no; 12;	 Influent; 0.02;	 Effluent; 0.3286836549491308
State no; 13;	 Influent; 2.0;	 Effluent; 0.30869707042178846
State no; 14;	 Influent; 5.0;	 Effluent; 0.027947234531563832
State no; 15;	 Influent; 20.0;	 Effluent; 0.10257410020320433
State no; 16;	 Influent; 5.0;	 Effluent; 0.029483040852071804
State no; 17;	 Influent; 0.0;	 Effluent; 0.4201658928153686
State no; 18;	 Influent; 0.01;	 Effluent; 1.1791717324138624
State no; 19;	 Influent; 0.01;	 Effluent; 0.24303527695625254
State no; 20;	 Influent; 0.01;	 Effluent; 0.43192107645014016
State no; 21;	 Influent; 0.01;	 Effluent; 0.13730589817442626
State no; 22;	 Influent; 0.01;	 Effluent; 0.7605466701196592
State no; 23;	 Influent; 0.01;	 Effluent; 0.3170228894913021
State no; 24;	 Influent; 25.0;	 Effluent; 25.61739336945766
State no; 25;	 Influent; 0.04;	 Effluent; 0.04
State no; 26;	 Influent; 0.02;	 Effluent; 0.02
State no; 27;	 Influent; 0.0;	 Effluent; 0.01160139489108062
State no; 28;	 Influent; 0.0;	 Effluent; 0.013226178100746708
State no; 29;	 Influent; 0.0;	 Effluent; 0.01575009850776695
State no; 30;	 Influent; 0.0;	 Effluent; 0.1977553587126031
State no; 31;	 Influent; 0.0;	 Effluent; 0.14190610833044615
State no; 32;	 Influent; 0.0;	 Effluent; 0.004954093772830242
State no; 33;	 Influent; 0.0;	 Effluent; 1.0233869874474256E-5
State no; 34;	 Influent; 0.0;	 Effluent; 1.6192562641177943
State no; 35;	 Influent; 0.0;	 Effluent; 0.01425832367757308
State no; 36;	 Influent; 170.0;	 Effluent; 170.0
State no; 37;	 Influent; 0.0;	 Effluent; 35.0
State no; 38;	 Influent; 0.0;	 Effluent; 0.0
State no; 39;	 Influent; 0.0;	 Effluent; 2811.7839879931885
State no; 40;	 Influent; 0.0;	 Effluent; 7.5516618720007935
State no; 41;	 Influent; 0.0;	 Effluent; 0.0
State no; 42;	 Influent; 0.0;	 Effluent; 0.0

